"date","state","state_abbr","positive","death","hospitalized","positiveIncrease","deathIncrease","hospitalIncrease"
"2020-04-14","Alabama","AL",4041,114,493,171,15,36
"2020-04-15","Alabama","AL",4307,118,525,266,4,32
"2020-04-16","Alabama","AL",4465,133,553,158,15,28
"2020-04-17","Alabama","AL",4557,148,594,92,15,41
"2020-04-18","Alabama","AL",4788,153,620,231,5,26
"2020-04-19","Alabama","AL",4978,157,641,190,4,21
"2020-04-20","Alabama","AL",5163,163,641,185,6,0
"2020-04-21","Alabama","AL",5404,183,699,241,20,58
"2020-04-22","Alabama","AL",5692,196,730,288,13,31
"2020-04-23","Alabama","AL",5899,202,768,207,6,38
"2020-04-24","Alabama","AL",6092,209,769,193,7,1
"2020-04-25","Alabama","AL",6274,209,839,182,0,70
"2020-04-26","Alabama","AL",6475,219,845,201,10,6
"2020-04-27","Alabama","AL",6621,228,872,146,9,27
"2020-04-28","Alabama","AL",6820,242,911,199,14,39
"2020-04-29","Alabama","AL",6979,256,945,159,14,34
"2020-04-30","Alabama","AL",7187,272,978,208,16,33
"2020-05-01","Alabama","AL",7440,289,1008,253,17,30
"2020-05-02","Alabama","AL",7700,288,1023,260,-1,15
"2020-05-03","Alabama","AL",7977,290,1035,277,2,12
"2020-05-04","Alabama","AL",8203,298,1064,226,8,29
"2020-05-05","Alabama","AL",8520,315,1107,317,17,43
"2020-05-06","Alabama","AL",8769,343,1158,249,28,51
"2020-05-07","Alabama","AL",9115,369,1178,346,26,20
"2020-05-08","Alabama","AL",9437,383,1207,322,14,29
"2020-05-09","Alabama","AL",9720,390,1228,283,7,21
"2020-05-10","Alabama","AL",9982,393,1240,262,3,12
"2020-05-11","Alabama","AL",10262,403,1256,280,10,16
"2020-05-12","Alabama","AL",10566,435,1287,304,32,31
"2020-05-13","Alabama","AL",10822,450,1317,256,15,30
"2020-05-14","Alabama","AL",11161,473,1350,339,23,33
"2020-05-15","Alabama","AL",11494,483,1377,333,10,27
"2020-05-16","Alabama","AL",11828,485,1387,334,2,10
"2020-05-17","Alabama","AL",12137,488,1392,309,3,5
"2020-05-18","Alabama","AL",12438,489,1416,301,1,24
"2020-05-19","Alabama","AL",12825,504,1453,387,15,37
"2020-05-20","Alabama","AL",13186,522,1493,361,18,40
"2020-05-21","Alabama","AL",13590,529,1528,404,7,35
"2020-05-22","Alabama","AL",13954,541,1561,364,12,33
"2020-05-23","Alabama","AL",14328,549,1589,374,8,28
"2020-05-24","Alabama","AL",14676,551,1612,348,2,23
"2020-05-25","Alabama","AL",15309,566,1629,633,15,17
"2020-05-26","Alabama","AL",15899,580,1671,590,14,42
"2020-05-27","Alabama","AL",16263,583,1719,364,3,48
"2020-05-28","Alabama","AL",16749,591,1765,486,8,46
"2020-05-29","Alabama","AL",17262,610,1800,513,19,35
"2020-05-30","Alabama","AL",17689,618,1826,427,8,26
"2020-05-31","Alabama","AL",18200,630,1844,511,12,18
"2020-06-01","Alabama","AL",18525,646,1856,325,16,12
"2020-06-02","Alabama","AL",18734,653,1879,209,7,23
"2020-06-03","Alabama","AL",18954,653,1900,220,0,21
"2020-06-04","Alabama","AL",19262,653,1929,308,0,29
"2020-06-05","Alabama","AL",19910,676,1949,648,23,20
"2020-06-06","Alabama","AL",20355,689,1993,445,13,44
"2020-06-07","Alabama","AL",20777,692,2022,422,3,29
"2020-06-08","Alabama","AL",21268,718,2054,491,26,32
"2020-06-09","Alabama","AL",21834,729,2087,566,11,33
"2020-06-10","Alabama","AL",22659,744,2129,825,15,42
"2020-06-11","Alabama","AL",23370,755,2165,711,11,36
"2020-06-12","Alabama","AL",24405,769,2202,1035,14,37
"2020-06-13","Alabama","AL",25364,773,2241,959,4,39
"2020-06-14","Alabama","AL",26182,773,2255,818,0,14
"2020-06-15","Alabama","AL",26485,774,2259,303,1,4
"2020-06-16","Alabama","AL",27034,785,2315,549,11,56
"2020-06-17","Alabama","AL",27941,790,2352,907,5,37
"2020-06-18","Alabama","AL",28676,810,2373,735,20,21
"2020-06-19","Alabama","AL",29225,822,2416,549,12,43
"2020-06-20","Alabama","AL",29683,838,2443,458,16,27
"2020-06-21","Alabama","AL",30122,839,2460,439,1,17
"2020-06-22","Alabama","AL",30771,841,2471,649,2,11
"2020-06-23","Alabama","AL",31889,864,2521,1118,23,50
"2020-06-24","Alabama","AL",32878,891,2567,989,27,46
"2020-06-25","Alabama","AL",33880,896,2612,1002,5,45
"2020-06-26","Alabama","AL",34903,907,2653,1023,11,41
"2020-06-27","Alabama","AL",35083,919,2697,180,12,44
"2020-06-28","Alabama","AL",36503,919,2703,1420,0,6
"2020-06-29","Alabama","AL",37589,929,2725,1086,10,22
"2020-06-30","Alabama","AL",38477,950,2769,888,21,44
"2020-07-01","Alabama","AL",39647,972,2803,1170,22,34
"2020-07-02","Alabama","AL",41340,985,2835,1693,13,32
"2020-07-03","Alabama","AL",42255,1006,2883,915,21,48
"2020-07-04","Alabama","AL",43216,1007,2906,961,1,23
"2020-07-05","Alabama","AL",44022,1007,2909,806,0,3
"2020-07-06","Alabama","AL",44932,1007,2914,910,0,5
"2020-07-07","Alabama","AL",46348,1033,2961,1416,26,47
"2020-07-08","Alabama","AL",48149,1058,3006,1801,25,45
"2020-07-09","Alabama","AL",49695,1068,3039,1546,10,33
"2020-07-10","Alabama","AL",51329,1104,3089,1634,36,50
"2020-07-11","Alabama","AL",52802,1114,6745,1473,10,3656
"2020-07-12","Alabama","AL",54781,1121,6745,1979,7,0
"2020-07-13","Alabama","AL",56168,1124,6745,1387,3,0
"2020-07-14","Alabama","AL",58284,1164,7123,2116,40,378
"2020-07-15","Alabama","AL",60194,1211,7291,1910,47,168
"2020-07-16","Alabama","AL",62128,1230,7584,1934,19,293
"2020-07-17","Alabama","AL",64152,1265,7584,2024,35,0
"2020-07-18","Alabama","AL",66181,1286,7782,2029,21,198
"2020-07-19","Alabama","AL",67733,1287,7782,1552,1,0
"2020-07-20","Alabama","AL",69236,1291,8368,1503,4,586
"2020-07-21","Alabama","AL",70600,1303,8538,1364,12,170
"2020-07-22","Alabama","AL",72594,1364,8538,1994,61,0
"2020-07-23","Alabama","AL",74685,1397,8995,2091,33,457
"2020-07-24","Alabama","AL",76795,1438,9157,2110,41,162
"2020-07-25","Alabama","AL",78188,1456,9157,1393,18,0
"2020-07-26","Alabama","AL",79948,1473,9157,1760,17,0
"2020-07-27","Alabama","AL",81256,1491,9694,1308,18,537
"2020-07-28","Alabama","AL",82698,1491,9893,1442,0,199
"2020-07-29","Alabama","AL",84652,1538,9893,1954,47,0
"2020-07-30","Alabama","AL",86664,1565,10070,2012,27,177
"2020-07-31","Alabama","AL",88266,1580,10521,1602,15,451
"2020-08-01","Alabama","AL",90299,1603,10521,2033,23,0
"2020-08-02","Alabama","AL",91458,1627,10521,1159,24,0
"2020-08-03","Alabama","AL",92502,1633,10865,1044,6,344
"2020-08-04","Alabama","AL",93457,1666,11100,955,33,235
"2020-08-05","Alabama","AL",95323,1695,11100,1866,29,0
"2020-08-06","Alabama","AL",97044,1714,11313,1721,19,213
"2020-08-07","Alabama","AL",98895,1735,11537,1851,21,224
"2020-08-08","Alabama","AL",99854,1755,11537,959,20,0
"2020-08-09","Alabama","AL",101466,1768,11537,1612,13,0
"2020-08-10","Alabama","AL",102391,1797,12070,925,29,533
"2020-08-11","Alabama","AL",103485,1847,12070,1094,50,0
"2020-08-12","Alabama","AL",104219,1882,12292,734,35,222
"2020-08-13","Alabama","AL",104976,1890,12456,757,8,164
"2020-08-14","Alabama","AL",106096,1893,12456,1120,3,0
"2020-08-15","Alabama","AL",106926,1896,12607,830,3,151
