"date","state","state_abbr","positive","death","hospitalized","positiveIncrease","deathIncrease","hospitalIncrease"
"2020-04-14","South Carolina","SC",3553,97,675,162,15,179
"2020-04-15","South Carolina","SC",3656,106,675,103,9,0
"2020-04-16","South Carolina","SC",3931,111,675,275,5,0
"2020-04-17","South Carolina","SC",4099,116,675,168,5,0
"2020-04-18","South Carolina","SC",4248,119,776,149,3,101
"2020-04-19","South Carolina","SC",4377,120,776,129,1,0
"2020-04-20","South Carolina","SC",4446,123,776,69,3,0
"2020-04-21","South Carolina","SC",4439,124,776,-7,1,0
"2020-04-22","South Carolina","SC",4761,140,837,322,16,61
"2020-04-23","South Carolina","SC",4917,150,837,156,10,0
"2020-04-24","South Carolina","SC",5070,157,944,153,7,107
"2020-04-25","South Carolina","SC",5253,166,944,183,9,0
"2020-04-26","South Carolina","SC",5498,174,944,245,8,0
"2020-04-27","South Carolina","SC",5613,177,944,115,3,0
"2020-04-28","South Carolina","SC",5735,192,944,122,15,0
"2020-04-29","South Carolina","SC",5882,231,1000,147,39,56
"2020-04-30","South Carolina","SC",6095,244,1000,213,13,0
"2020-05-01","South Carolina","SC",6258,256,1110,163,12,110
"2020-05-02","South Carolina","SC",6489,267,1110,231,11,0
"2020-05-03","South Carolina","SC",6626,275,1110,137,8,0
"2020-05-04","South Carolina","SC",6757,283,1110,131,8,0
"2020-05-05","South Carolina","SC",6841,296,1110,84,13,0
"2020-05-06","South Carolina","SC",6936,305,1152,95,9,42
"2020-05-07","South Carolina","SC",7142,316,1152,206,11,0
"2020-05-08","South Carolina","SC",7367,320,1152,225,4,0
"2020-05-09","South Carolina","SC",7531,330,1252,164,10,100
"2020-05-10","South Carolina","SC",7653,331,1252,122,1,0
"2020-05-11","South Carolina","SC",7792,346,1252,139,15,0
"2020-05-12","South Carolina","SC",7927,355,1338,135,9,86
"2020-05-13","South Carolina","SC",8030,362,1338,103,7,0
"2020-05-14","South Carolina","SC",8189,371,1338,159,9,0
"2020-05-15","South Carolina","SC",8407,380,1421,218,9,83
