"date","state","state_abbr","positive","death","hospitalized","positiveIncrease","deathIncrease","hospitalIncrease"
"2020-04-14","Virginia","VA",6182,154,1282,435,5,44
"2020-04-15","Virginia","VA",6500,195,1298,318,41,16
"2020-04-16","Virginia","VA",6889,208,1337,389,13,39
"2020-04-17","Virginia","VA",7491,231,1308,602,23,-29
"2020-04-18","Virginia","VA",8053,258,1307,562,27,-1
"2020-04-19","Virginia","VA",8542,277,1422,489,19,115
"2020-04-20","Virginia","VA",8990,300,1500,448,23,78
"2020-04-21","Virginia","VA",9630,324,1581,640,24,81
"2020-04-22","Virginia","VA",10266,349,1581,636,25,0
"2020-04-23","Virginia","VA",10998,373,1753,732,24,172
"2020-04-24","Virginia","VA",11594,411,1837,596,38,84
"2020-04-25","Virginia","VA",12366,437,1942,772,26,105
"2020-04-26","Virginia","VA",12970,449,2014,604,12,72
"2020-04-27","Virginia","VA",13538,460,3298,568,11,1284
"2020-04-28","Virginia","VA",14339,492,3422,801,32,124
"2020-04-29","Virginia","VA",14962,522,3608,623,30,186
"2020-04-30","Virginia","VA",15847,552,3654,885,30,46
"2020-05-01","Virginia","VA",16902,581,3654,1055,29,0
"2020-05-02","Virginia","VA",17738,617,3738,836,36,84
"2020-05-03","Virginia","VA",18672,660,3910,934,43,172
"2020-05-04","Virginia","VA",19493,684,4010,821,24,100
"2020-05-05","Virginia","VA",20257,713,4113,764,29,103
"2020-05-06","Virginia","VA",20257,713,4113,0,0,0
"2020-05-07","Virginia","VA",21570,769,4438,1313,56,325
"2020-05-08","Virginia","VA",22342,812,4622,772,43,184
"2020-05-09","Virginia","VA",23196,827,4717,854,15,95
"2020-05-10","Virginia","VA",24081,839,4756,885,12,39
"2020-05-11","Virginia","VA",25070,850,4777,989,11,21
"2020-05-12","Virginia","VA",25800,892,4929,730,42,152
"2020-05-13","Virginia","VA",26746,928,5080,946,36,151
"2020-05-14","Virginia","VA",27813,956,5211,1067,28,131
"2020-05-15","Virginia","VA",28672,978,5316,859,22,105
"2020-05-16","Virginia","VA",29683,1003,5414,1011,25,98
"2020-05-17","Virginia","VA",30388,1010,5517,705,7,103
"2020-05-18","Virginia","VA",31140,1015,5609,752,5,92
"2020-05-19","Virginia","VA",32145,1042,5768,1005,27,159
"2020-05-20","Virginia","VA",32908,1075,6059,763,33,291
"2020-05-21","Virginia","VA",34137,1100,6269,1229,25,210
"2020-05-22","Virginia","VA",34950,1136,6422,813,36,153
"2020-05-23","Virginia","VA",35749,1159,6431,799,23,9
"2020-05-24","Virginia","VA",36244,1171,6453,495,12,22
"2020-05-25","Virginia","VA",37727,1208,6521,1483,37,68
"2020-05-26","Virginia","VA",39342,1236,6630,1615,28,109
"2020-05-27","Virginia","VA",40249,1281,6826,907,45,196
"2020-05-28","Virginia","VA",41401,1338,6974,1152,57,148
"2020-05-29","Virginia","VA",42533,1358,7172,1132,20,198
"2020-05-30","Virginia","VA",43611,1370,7216,1078,12,44
"2020-05-31","Virginia","VA",44607,1375,7326,996,5,110
"2020-06-01","Virginia","VA",45398,1392,7326,791,17,0
"2020-06-02","Virginia","VA",46239,1407,7373,841,15,47
"2020-06-03","Virginia","VA",46905,1428,7476,666,21,103
"2020-06-04","Virginia","VA",47856,1445,7550,951,17,74
"2020-06-05","Virginia","VA",48532,1454,7597,676,9,47
"2020-06-06","Virginia","VA",49397,1461,7553,865,7,-44
"2020-06-07","Virginia","VA",50681,1472,7724,1284,11,171
"2020-06-08","Virginia","VA",51251,1477,7730,570,5,6
"2020-06-09","Virginia","VA",51738,1496,7846,487,19,116
"2020-06-10","Virginia","VA",52177,1514,7981,439,18,135
"2020-06-11","Virginia","VA",52647,1520,7964,470,6,-17
"2020-06-12","Virginia","VA",53211,1534,8028,564,14,64
"2020-06-13","Virginia","VA",53869,1541,8090,658,7,62
"2020-06-14","Virginia","VA",54506,1546,8136,637,5,46
"2020-06-15","Virginia","VA",54886,1552,8132,380,6,-4
"2020-06-16","Virginia","VA",55331,1570,8245,445,18,113
"2020-06-17","Virginia","VA",55775,1583,8367,444,13,122
"2020-06-18","Virginia","VA",56238,1586,8350,463,3,-17
"2020-06-19","Virginia","VA",56793,1602,8425,555,16,75
"2020-06-20","Virginia","VA",57443,1607,8487,650,5,62
"2020-06-21","Virginia","VA",57994,1611,8509,551,4,22
"2020-06-22","Virginia","VA",58465,1620,8511,471,9,2
"2020-06-23","Virginia","VA",58994,1645,8572,529,25,61
"2020-06-24","Virginia","VA",59514,1661,8651,520,16,79
"2020-06-25","Virginia","VA",59946,1675,8672,432,14,21
"2020-06-26","Virginia","VA",60570,1700,8722,624,25,50
"2020-06-27","Virginia","VA",61247,1724,8787,677,24,65
"2020-06-28","Virginia","VA",61736,1732,8823,489,8,36
"2020-06-29","Virginia","VA",62189,1740,8823,453,8,0
"2020-06-30","Virginia","VA",62787,1763,8982,598,23,159
