"date","state","state_abbr","positive","death","hospitalized","positiveIncrease","deathIncrease","hospitalIncrease"
"2020-04-14","District of Columbia","DC",2058,67,295,103,15,0
"2020-04-15","District of Columbia","DC",2197,72,313,139,5,18
"2020-04-16","District of Columbia","DC",2350,81,313,153,9,0
"2020-04-17","District of Columbia","DC",2476,86,313,126,5,0
"2020-04-18","District of Columbia","DC",2666,91,313,190,5,0
"2020-04-19","District of Columbia","DC",2793,96,313,127,5,0
"2020-04-20","District of Columbia","DC",2927,105,402,134,9,89
"2020-04-21","District of Columbia","DC",3098,112,402,171,7,0
"2020-04-22","District of Columbia","DC",3206,127,402,108,15,0
"2020-04-23","District of Columbia","DC",3361,139,402,155,12,0
"2020-04-24","District of Columbia","DC",3528,153,402,167,14,0
"2020-04-25","District of Columbia","DC",3699,165,402,171,12,0
"2020-04-26","District of Columbia","DC",3841,178,402,142,13,0
"2020-04-27","District of Columbia","DC",3892,185,402,51,7,0
"2020-04-28","District of Columbia","DC",3994,190,NA,102,5,NA
"2020-04-29","District of Columbia","DC",4106,205,NA,112,15,NA
"2020-04-30","District of Columbia","DC",4323,224,NA,217,19,NA
"2020-05-01","District of Columbia","DC",4658,231,NA,335,7,NA
"2020-05-02","District of Columbia","DC",4797,240,NA,139,9,NA
"2020-05-03","District of Columbia","DC",5016,251,NA,219,11,NA
"2020-05-04","District of Columbia","DC",5170,258,NA,154,7,NA
"2020-05-05","District of Columbia","DC",5322,264,NA,152,6,NA
"2020-05-06","District of Columbia","DC",5461,277,NA,139,13,NA
"2020-05-07","District of Columbia","DC",5654,285,NA,193,8,NA
"2020-05-08","District of Columbia","DC",5899,304,NA,245,19,NA
"2020-05-09","District of Columbia","DC",6102,311,NA,203,7,NA
"2020-05-10","District of Columbia","DC",6272,323,NA,170,12,NA
"2020-05-11","District of Columbia","DC",6389,328,NA,117,5,NA
"2020-05-12","District of Columbia","DC",6485,336,NA,96,8,NA
"2020-05-13","District of Columbia","DC",6584,350,NA,99,14,NA
"2020-05-14","District of Columbia","DC",6736,358,NA,152,8,NA
"2020-05-15","District of Columbia","DC",6871,368,NA,135,10,NA
"2020-05-16","District of Columbia","DC",7042,375,NA,171,7,NA
"2020-05-17","District of Columbia","DC",7123,383,NA,81,8,NA
"2020-05-18","District of Columbia","DC",7270,392,NA,147,9,NA
"2020-05-19","District of Columbia","DC",7434,400,NA,164,8,NA
"2020-05-20","District of Columbia","DC",7551,407,NA,117,7,NA
"2020-05-21","District of Columbia","DC",7788,412,NA,237,5,NA
"2020-05-22","District of Columbia","DC",7893,418,NA,105,6,NA
"2020-05-23","District of Columbia","DC",7966,427,NA,73,9,NA
"2020-05-24","District of Columbia","DC",8110,432,NA,144,5,NA
"2020-05-25","District of Columbia","DC",8225,440,NA,115,8,NA
"2020-05-26","District of Columbia","DC",8334,440,NA,109,0,NA
"2020-05-27","District of Columbia","DC",8406,445,NA,72,5,NA
"2020-05-28","District of Columbia","DC",8492,453,NA,86,8,NA
"2020-05-29","District of Columbia","DC",8538,460,NA,46,7,NA
"2020-05-30","District of Columbia","DC",8717,462,NA,179,2,NA
"2020-05-31","District of Columbia","DC",8801,466,NA,84,4,NA
"2020-06-01","District of Columbia","DC",8857,468,NA,56,2,NA
"2020-06-02","District of Columbia","DC",8886,470,NA,29,2,NA
"2020-06-03","District of Columbia","DC",9016,473,NA,130,3,NA
"2020-06-04","District of Columbia","DC",9120,475,NA,104,2,NA
"2020-06-05","District of Columbia","DC",9199,479,NA,79,4,NA
"2020-06-06","District of Columbia","DC",9269,483,NA,70,4,NA
"2020-06-07","District of Columbia","DC",9332,489,NA,63,6,NA
"2020-06-08","District of Columbia","DC",9389,491,NA,57,2,NA
"2020-06-09","District of Columbia","DC",9474,495,NA,85,4,NA
"2020-06-10","District of Columbia","DC",9537,499,NA,63,4,NA
"2020-06-11","District of Columbia","DC",9589,502,NA,52,3,NA
"2020-06-12","District of Columbia","DC",9654,506,NA,65,4,NA
"2020-06-13","District of Columbia","DC",9709,511,NA,55,5,NA
"2020-06-14","District of Columbia","DC",9767,515,NA,58,4,NA
"2020-06-15","District of Columbia","DC",9799,515,NA,32,0,NA
"2020-06-16","District of Columbia","DC",9818,520,NA,19,5,NA
"2020-06-17","District of Columbia","DC",9847,523,NA,29,3,NA
"2020-06-18","District of Columbia","DC",9903,527,NA,56,4,NA
"2020-06-19","District of Columbia","DC",9952,530,NA,49,3,NA
"2020-06-20","District of Columbia","DC",9984,531,NA,32,1,NA
"2020-06-21","District of Columbia","DC",10020,533,NA,36,2,NA
"2020-06-22","District of Columbia","DC",10058,535,NA,38,2,NA
"2020-06-23","District of Columbia","DC",10094,537,NA,36,2,NA
"2020-06-24","District of Columbia","DC",10128,541,NA,34,4,NA
"2020-06-25","District of Columbia","DC",10159,543,NA,31,2,NA
"2020-06-26","District of Columbia","DC",10185,546,NA,26,3,NA
"2020-06-27","District of Columbia","DC",10216,548,NA,31,2,NA
"2020-06-28","District of Columbia","DC",10248,550,NA,32,2,NA
"2020-06-29","District of Columbia","DC",10292,551,NA,44,1,NA
"2020-06-30","District of Columbia","DC",10327,551,NA,35,0,NA
"2020-07-01","District of Columbia","DC",10365,553,NA,38,2,NA
"2020-07-02","District of Columbia","DC",10390,554,NA,25,1,NA
"2020-07-03","District of Columbia","DC",10435,555,NA,45,1,NA
"2020-07-04","District of Columbia","DC",10447,557,NA,12,2,NA
"2020-07-05","District of Columbia","DC",10482,559,NA,35,2,NA
"2020-07-06","District of Columbia","DC",10515,561,NA,33,2,NA
"2020-07-07","District of Columbia","DC",10569,561,NA,54,0,NA
"2020-07-08","District of Columbia","DC",10642,564,NA,73,3,NA
"2020-07-09","District of Columbia","DC",10679,568,NA,37,4,NA
"2020-07-10","District of Columbia","DC",10743,568,NA,64,0,NA
"2020-07-11","District of Columbia","DC",10801,568,NA,58,0,NA
"2020-07-12","District of Columbia","DC",10847,568,NA,46,0,NA
"2020-07-13","District of Columbia","DC",10906,568,NA,59,0,NA
"2020-07-14","District of Columbia","DC",10946,568,NA,40,0,NA
"2020-07-15","District of Columbia","DC",11026,571,NA,80,3,NA
"2020-07-16","District of Columbia","DC",11076,574,NA,50,3,NA
"2020-07-17","District of Columbia","DC",11115,577,NA,39,3,NA
"2020-07-18","District of Columbia","DC",11194,578,NA,79,1,NA
"2020-07-19","District of Columbia","DC",11261,578,NA,67,0,NA
"2020-07-20","District of Columbia","DC",11339,579,NA,78,1,NA
"2020-07-21","District of Columbia","DC",11427,580,NA,88,1,NA
"2020-07-22","District of Columbia","DC",11529,580,NA,102,0,NA
"2020-07-23","District of Columbia","DC",11571,581,NA,42,1,NA
"2020-07-24","District of Columbia","DC",11649,581,NA,78,0,NA
"2020-07-25","District of Columbia","DC",11717,581,NA,68,0,NA
"2020-07-26","District of Columbia","DC",11780,581,NA,63,0,NA
"2020-07-27","District of Columbia","DC",11858,582,NA,78,1,NA
"2020-07-28","District of Columbia","DC",11945,583,NA,87,1,NA
"2020-07-29","District of Columbia","DC",11999,584,NA,54,1,NA
"2020-07-30","District of Columbia","DC",12057,584,NA,58,0,NA
"2020-07-31","District of Columbia","DC",12057,584,NA,0,0,NA
"2020-08-01","District of Columbia","DC",12057,584,NA,0,0,NA
"2020-08-02","District of Columbia","DC",12057,584,NA,0,0,NA
"2020-08-03","District of Columbia","DC",12313,586,NA,256,2,NA
"2020-08-04","District of Columbia","DC",12398,587,NA,85,1,NA
"2020-08-05","District of Columbia","DC",12443,587,NA,45,0,NA
"2020-08-06","District of Columbia","DC",12518,587,NA,75,0,NA
"2020-08-07","District of Columbia","DC",12589,589,NA,71,2,NA
"2020-08-08","District of Columbia","DC",12653,590,NA,64,1,NA
"2020-08-09","District of Columbia","DC",12753,591,NA,100,1,NA
"2020-08-10","District of Columbia","DC",12807,591,NA,54,0,NA
"2020-08-11","District of Columbia","DC",12896,593,NA,89,2,NA
"2020-08-12","District of Columbia","DC",12959,593,NA,63,0,NA
"2020-08-13","District of Columbia","DC",13024,594,NA,65,1,NA
"2020-08-14","District of Columbia","DC",13118,594,NA,94,0,NA
"2020-08-15","District of Columbia","DC",13159,597,NA,41,3,NA
"2020-08-16","District of Columbia","DC",13220,597,NA,61,0,NA
"2020-08-17","District of Columbia","DC",13273,597,NA,53,0,NA
"2020-08-18","District of Columbia","DC",13325,599,NA,52,2,NA
