"date","state","state_abbr","positive","death","hospitalized","positiveIncrease","deathIncrease","hospitalIncrease"
"2020-04-14","Georgia","GA",14578,525,2769,1263,60,180
"2020-04-15","Georgia","GA",14987,552,2922,409,27,153
"2020-04-16","Georgia","GA",15669,587,3108,682,35,186
"2020-04-17","Georgia","GA",17194,650,3324,1525,63,216
"2020-04-18","Georgia","GA",17669,673,3420,475,23,96
"2020-04-19","Georgia","GA",18301,687,3464,632,14,44
"2020-04-20","Georgia","GA",19407,775,3550,1106,88,86
"2020-04-21","Georgia","GA",19881,798,3779,474,23,229
"2020-04-22","Georgia","GA",21214,848,3959,1333,50,180
"2020-04-23","Georgia","GA",21883,881,4069,669,33,110
"2020-04-24","Georgia","GA",22491,899,4322,608,18,253
"2020-04-25","Georgia","GA",23222,907,4326,731,8,4
"2020-04-26","Georgia","GA",23486,916,4359,264,9,33
"2020-04-27","Georgia","GA",24302,995,4681,816,79,322
"2020-04-28","Georgia","GA",24922,1036,4814,620,41,133
"2020-04-29","Georgia","GA",25775,1101,5056,853,65,242
"2020-04-30","Georgia","GA",26264,1132,5156,489,31,100
"2020-05-01","Georgia","GA",27489,1169,5269,1225,37,113
"2020-05-02","Georgia","GA",28331,1177,5387,842,8,118
"2020-05-03","Georgia","GA",28665,1184,5393,334,7,6
"2020-05-04","Georgia","GA",29451,1246,5526,786,62,133
"2020-05-05","Georgia","GA",29998,1299,5634,547,53,108
"2020-05-06","Georgia","GA",30743,1327,5765,745,28,131
"2020-05-07","Georgia","GA",31618,1355,5835,875,28,70
"2020-05-08","Georgia","GA",32181,1400,5935,563,45,100
"2020-05-09","Georgia","GA",32588,1403,5987,407,3,52
"2020-05-10","Georgia","GA",33580,1406,5997,992,3,10
"2020-05-11","Georgia","GA",34002,1444,6015,422,38,18
"2020-05-12","Georgia","GA",34924,1498,6130,922,54,115
"2020-05-13","Georgia","GA",35427,1517,6259,503,19,129
"2020-05-14","Georgia","GA",35977,1545,6345,550,28,86
"2020-05-15","Georgia","GA",36772,1588,6438,795,43,93
"2020-05-16","Georgia","GA",37212,1598,6735,440,10,297
"2020-05-17","Georgia","GA",37579,1610,6790,367,12,55
"2020-05-18","Georgia","GA",38283,1649,6916,704,39,126
"2020-05-19","Georgia","GA",38855,1675,7027,572,26,111
"2020-05-20","Georgia","GA",39801,1697,7107,946,22,80
"2020-05-21","Georgia","GA",40663,1775,7235,862,78,128
"2020-05-22","Georgia","GA",41482,1808,7313,819,33,78
"2020-05-23","Georgia","GA",42242,1822,7411,760,14,98
"2020-05-24","Georgia","GA",42902,1827,7439,660,5,28
"2020-05-25","Georgia","GA",43400,1848,7475,498,21,36
"2020-05-26","Georgia","GA",43983,1896,7547,583,48,72
"2020-05-27","Georgia","GA",44638,1933,7666,655,37,119
"2020-05-28","Georgia","GA",45266,1973,7767,628,40,101
"2020-05-29","Georgia","GA",45881,1987,7852,615,14,85
"2020-05-30","Georgia","GA",46331,2004,7921,450,17,69
"2020-05-31","Georgia","GA",47063,2053,7946,732,49,25
"2020-06-01","Georgia","GA",47902,2094,8127,839,41,181
"2020-06-02","Georgia","GA",48207,2102,8334,305,8,207
"2020-06-03","Georgia","GA",48894,2123,8419,687,21,85
"2020-06-04","Georgia","GA",49859,2149,8557,965,26,138
"2020-06-05","Georgia","GA",50621,2174,8646,762,25,89
"2020-06-06","Georgia","GA",51359,2178,8662,738,4,16
"2020-06-07","Georgia","GA",51898,2180,8685,539,2,23
"2020-06-08","Georgia","GA",52497,2208,8746,599,28,61
"2020-06-09","Georgia","GA",53249,2285,8872,752,77,126
"2020-06-10","Georgia","GA",53980,2329,8974,731,44,102
"2020-06-11","Georgia","GA",54973,2375,9073,993,46,99
"2020-06-12","Georgia","GA",55783,2418,9181,810,43,108
"2020-06-13","Georgia","GA",56804,2447,9224,1021,29,43
"2020-06-14","Georgia","GA",57681,2451,9248,877,4,24
"2020-06-15","Georgia","GA",58414,2494,9322,733,43,74
"2020-06-16","Georgia","GA",59078,2529,9454,664,35,132
"2020-06-17","Georgia","GA",60030,2575,9543,952,46,89
"2020-06-18","Georgia","GA",60912,2605,9663,882,30,120
"2020-06-19","Georgia","GA",62009,2636,9772,1097,31,109
"2020-06-20","Georgia","GA",63809,2642,9837,1800,6,65
"2020-06-21","Georgia","GA",64701,2643,9837,892,1,0
"2020-06-22","Georgia","GA",65928,2648,9953,1227,5,116
"2020-06-23","Georgia","GA",67810,2695,10123,1882,47,170
"2020-06-24","Georgia","GA",69381,2698,10313,1571,3,190
"2020-06-25","Georgia","GA",71095,2745,10457,1714,47,144
"2020-06-26","Georgia","GA",72995,2770,10605,1900,25,148
"2020-06-27","Georgia","GA",74985,2776,10689,1990,6,84
"2020-06-28","Georgia","GA",77210,2778,10711,2225,2,22
"2020-06-29","Georgia","GA",79417,2784,10824,2207,6,113
"2020-06-30","Georgia","GA",81291,2805,11051,1874,21,227
"2020-07-01","Georgia","GA",84242,2827,11275,2951,22,224
"2020-07-02","Georgia","GA",87709,2849,11500,3467,22,225
"2020-07-03","Georgia","GA",90493,2857,11653,2784,8,153
"2020-07-04","Georgia","GA",93319,2857,11743,2826,0,90
"2020-07-05","Georgia","GA",95516,2860,11775,2197,3,32
