"date","state","state_abbr","positive","death","hospitalized","positiveIncrease","deathIncrease","hospitalIncrease"
"2020-04-14","Delaware","DE",1926,61,204,168,7,3
"2020-04-15","Delaware","DE",2014,68,208,88,7,4
"2020-04-16","Delaware","DE",2070,71,209,56,3,1
"2020-04-17","Delaware","DE",2317,77,209,247,6,0
"2020-04-18","Delaware","DE",2538,87,224,221,10,15
"2020-04-19","Delaware","DE",2538,91,249,0,4,25
"2020-04-20","Delaware","DE",2745,101,256,207,10,7
"2020-04-21","Delaware","DE",2931,106,263,186,5,7
"2020-04-22","Delaware","DE",3200,119,269,269,13,6
"2020-04-23","Delaware","DE",3308,133,290,108,14,21
"2020-04-24","Delaware","DE",3442,149,277,134,16,-13
"2020-04-25","Delaware","DE",3576,157,300,134,8,23
"2020-04-26","Delaware","DE",4034,170,317,458,13,17
"2020-04-27","Delaware","DE",4162,183,325,128,13,8
"2020-04-28","Delaware","DE",4575,194,NA,413,11,NA
"2020-04-29","Delaware","DE",4655,206,NA,80,12,NA
"2020-04-30","Delaware","DE",4734,212,NA,79,6,NA
"2020-05-01","Delaware","DE",4918,224,NA,184,12,NA
"2020-05-02","Delaware","DE",5038,236,NA,120,12,NA
"2020-05-03","Delaware","DE",5208,248,NA,170,12,NA
"2020-05-04","Delaware","DE",5288,258,NA,80,10,NA
"2020-05-05","Delaware","DE",5371,269,NA,83,11,NA
"2020-05-06","Delaware","DE",5778,272,NA,407,3,NA
"2020-05-07","Delaware","DE",5939,288,NA,161,16,NA
"2020-05-08","Delaware","DE",6111,301,NA,172,13,NA
"2020-05-09","Delaware","DE",6277,305,NA,166,4,NA
"2020-05-10","Delaware","DE",6277,316,NA,0,11,NA
"2020-05-11","Delaware","DE",6565,328,NA,288,12,NA
"2020-05-12","Delaware","DE",6741,339,NA,176,11,NA
"2020-05-13","Delaware","DE",6952,355,NA,211,16,NA
"2020-05-14","Delaware","DE",7223,367,NA,271,12,NA
"2020-05-15","Delaware","DE",7373,378,NA,150,11,NA
"2020-05-16","Delaware","DE",7547,388,NA,174,10,NA
"2020-05-17","Delaware","DE",7670,398,NA,123,10,NA
"2020-05-18","Delaware","DE",7869,405,NA,199,7,NA
"2020-05-19","Delaware","DE",8037,416,NA,168,11,NA
"2020-05-20","Delaware","DE",8194,425,NA,157,9,NA
"2020-05-21","Delaware","DE",8386,430,NA,192,5,NA
"2020-05-22","Delaware","DE",8529,435,NA,143,5,NA
"2020-05-23","Delaware","DE",8529,441,NA,0,6,NA
"2020-05-24","Delaware","DE",8809,449,NA,280,8,NA
"2020-05-25","Delaware","DE",8965,455,NA,156,6,NA
"2020-05-26","Delaware","DE",9066,465,NA,101,10,NA
"2020-05-27","Delaware","DE",9096,475,NA,30,10,NA
"2020-05-28","Delaware","DE",9171,483,NA,75,8,NA
"2020-05-29","Delaware","DE",9236,490,NA,65,7,NA
"2020-05-30","Delaware","DE",9422,494,NA,186,4,NA
"2020-05-31","Delaware","DE",9498,497,NA,76,3,NA
"2020-06-01","Delaware","DE",9605,500,NA,107,3,NA
"2020-06-02","Delaware","DE",9685,501,NA,80,1,NA
"2020-06-03","Delaware","DE",9712,505,NA,27,4,NA
"2020-06-04","Delaware","DE",9746,517,NA,34,12,NA
"2020-06-05","Delaware","DE",9773,521,NA,27,4,NA
"2020-06-06","Delaware","DE",9845,521,NA,72,0,NA
"2020-06-07","Delaware","DE",9942,524,NA,97,3,NA
"2020-06-08","Delaware","DE",9972,527,NA,30,3,NA
"2020-06-09","Delaware","DE",10020,531,NA,48,4,NA
"2020-06-10","Delaware","DE",10056,533,NA,36,2,NA
"2020-06-11","Delaware","DE",10106,535,NA,50,2,NA
"2020-06-12","Delaware","DE",10173,537,NA,67,2,NA
"2020-06-13","Delaware","DE",10229,540,NA,56,3,NA
"2020-06-14","Delaware","DE",10264,541,NA,35,1,NA
"2020-06-15","Delaware","DE",10340,543,NA,76,2,NA
"2020-06-16","Delaware","DE",10403,544,NA,63,1,NA
"2020-06-17","Delaware","DE",10444,547,NA,41,3,NA
"2020-06-18","Delaware","DE",10499,548,NA,55,1,NA
"2020-06-19","Delaware","DE",10611,552,NA,112,4,NA
"2020-06-20","Delaware","DE",10681,552,NA,70,0,NA
"2020-06-21","Delaware","DE",10775,555,NA,94,3,NA
"2020-06-22","Delaware","DE",10820,557,NA,45,2,NA
"2020-06-23","Delaware","DE",10847,557,NA,27,0,NA
"2020-06-24","Delaware","DE",10889,559,NA,42,2,NA
"2020-06-25","Delaware","DE",10980,559,NA,91,0,NA
"2020-06-26","Delaware","DE",11017,561,NA,37,2,NA
"2020-06-27","Delaware","DE",11091,562,NA,74,1,NA
