"date","state","state_abbr","positive","death","hospitalized","positiveIncrease","deathIncrease","hospitalIncrease"
"2020-04-14","New Mexico","NM",1345,31,181,83,5,101
"2020-04-15","New Mexico","NM",1484,36,181,139,5,0
"2020-04-16","New Mexico","NM",1484,36,215,0,0,34
"2020-04-17","New Mexico","NM",1597,44,230,113,8,15
"2020-04-18","New Mexico","NM",1798,53,242,201,9,12
"2020-04-19","New Mexico","NM",1845,55,258,47,2,16
"2020-04-20","New Mexico","NM",1971,58,274,126,3,16
"2020-04-21","New Mexico","NM",1971,58,291,0,0,17
"2020-04-22","New Mexico","NM",2210,71,306,239,13,15
"2020-04-23","New Mexico","NM",2379,78,331,169,7,25
"2020-04-24","New Mexico","NM",2521,84,412,142,6,81
"2020-04-25","New Mexico","NM",2660,93,412,139,9,0
"2020-04-26","New Mexico","NM",2726,99,412,66,6,0
"2020-04-27","New Mexico","NM",2825,99,412,99,0,0
"2020-04-28","New Mexico","NM",2974,105,481,149,6,69
"2020-04-29","New Mexico","NM",3213,112,509,239,7,28
"2020-04-30","New Mexico","NM",3411,123,536,198,11,27
"2020-05-01","New Mexico","NM",3513,131,536,102,8,0
"2020-05-02","New Mexico","NM",3732,138,587,219,7,51
"2020-05-03","New Mexico","NM",3850,151,587,118,13,0
"2020-05-04","New Mexico","NM",4031,156,587,181,5,0
"2020-05-05","New Mexico","NM",4138,162,667,107,6,80
"2020-05-06","New Mexico","NM",4291,169,687,153,7,20
"2020-05-07","New Mexico","NM",4493,172,687,202,3,0
"2020-05-08","New Mexico","NM",4673,181,760,180,9,73
"2020-05-09","New Mexico","NM",4778,191,789,105,10,29
"2020-05-10","New Mexico","NM",4863,200,789,85,9,0
"2020-05-11","New Mexico","NM",5069,208,789,206,8,0
"2020-05-12","New Mexico","NM",5212,219,886,143,11,97
"2020-05-13","New Mexico","NM",5364,231,886,152,12,0
"2020-05-14","New Mexico","NM",5503,242,886,139,11,0
"2020-05-15","New Mexico","NM",5662,253,886,159,11,0
"2020-05-16","New Mexico","NM",5847,259,886,185,6,0
"2020-05-17","New Mexico","NM",5938,265,886,91,6,0
"2020-05-18","New Mexico","NM",6096,270,886,158,5,0
"2020-05-19","New Mexico","NM",6192,276,886,96,6,0
"2020-05-20","New Mexico","NM",6317,283,1139,125,7,253
