"date","state","state_abbr","positive","death","hospitalized","positiveIncrease","deathIncrease","hospitalIncrease"
"2020-04-14","Wisconsin","WI",3555,170,1049,127,16,56
"2020-04-15","Wisconsin","WI",3721,183,1091,166,13,42
"2020-04-16","Wisconsin","WI",3875,197,1121,154,14,30
"2020-04-17","Wisconsin","WI",4053,206,1153,178,9,32
"2020-04-18","Wisconsin","WI",4199,212,1176,146,6,23
"2020-04-19","Wisconsin","WI",4346,220,1190,147,8,14
"2020-04-20","Wisconsin","WI",4499,230,1211,153,10,21
"2020-04-21","Wisconsin","WI",4625,244,1252,126,14,41
"2020-04-22","Wisconsin","WI",4845,248,1302,220,4,50
"2020-04-23","Wisconsin","WI",5052,258,1318,207,10,16
"2020-04-24","Wisconsin","WI",5356,263,1353,304,5,35
"2020-04-25","Wisconsin","WI",5687,266,1376,331,3,23
"2020-04-26","Wisconsin","WI",5912,272,1397,225,6,21
"2020-04-27","Wisconsin","WI",6081,281,1415,169,9,18
"2020-04-28","Wisconsin","WI",6289,300,1456,208,19,41
"2020-04-29","Wisconsin","WI",6520,308,1489,231,8,33
"2020-04-30","Wisconsin","WI",6854,316,1512,334,8,23
"2020-05-01","Wisconsin","WI",7314,327,1544,460,11,32
"2020-05-02","Wisconsin","WI",7660,334,1591,346,7,47
"2020-05-03","Wisconsin","WI",7964,339,1608,304,5,17
"2020-05-04","Wisconsin","WI",8236,340,1621,272,1,13
"2020-05-05","Wisconsin","WI",8566,353,1663,330,13,42
"2020-05-06","Wisconsin","WI",8901,362,1694,335,9,31
"2020-05-07","Wisconsin","WI",9215,374,1732,314,12,38
"2020-05-08","Wisconsin","WI",9590,384,1767,375,10,35
"2020-05-09","Wisconsin","WI",9939,398,1806,349,14,39
"2020-05-10","Wisconsin","WI",10219,400,1820,280,2,14
"2020-05-11","Wisconsin","WI",10418,409,1846,199,9,26
"2020-05-12","Wisconsin","WI",10611,418,1877,193,9,31
"2020-05-13","Wisconsin","WI",10902,421,1908,291,3,31
"2020-05-14","Wisconsin","WI",11275,434,1939,373,13,31
"2020-05-15","Wisconsin","WI",11685,445,1977,410,11,38
"2020-05-16","Wisconsin","WI",12187,453,2018,502,8,41
"2020-05-17","Wisconsin","WI",12543,453,2038,356,0,20
"2020-05-18","Wisconsin","WI",12687,459,2068,144,6,30
"2020-05-19","Wisconsin","WI",12885,467,2110,198,8,42
"2020-05-20","Wisconsin","WI",13413,481,2161,528,14,51
"2020-05-21","Wisconsin","WI",13885,487,2218,472,6,57
"2020-05-22","Wisconsin","WI",14396,496,2259,511,9,41
"2020-05-23","Wisconsin","WI",14877,507,2292,481,11,33
"2020-05-24","Wisconsin","WI",15277,510,2315,400,3,23
"2020-05-25","Wisconsin","WI",15584,514,2339,307,4,24
"2020-05-26","Wisconsin","WI",15863,517,2362,279,3,23
"2020-05-27","Wisconsin","WI",16462,539,2411,599,22,49
"2020-05-28","Wisconsin","WI",16974,550,2452,512,11,41
"2020-05-29","Wisconsin","WI",17707,568,2499,733,18,47
"2020-05-30","Wisconsin","WI",18230,588,2563,523,20,64
"2020-05-31","Wisconsin","WI",18403,592,2583,173,4,20
"2020-06-01","Wisconsin","WI",18543,595,2603,140,3,20
"2020-06-02","Wisconsin","WI",18917,607,2643,374,12,40
"2020-06-03","Wisconsin","WI",19400,616,2700,483,9,57
"2020-06-04","Wisconsin","WI",19892,626,2739,492,10,39
"2020-06-05","Wisconsin","WI",20249,633,2791,357,7,52
"2020-06-06","Wisconsin","WI",20571,645,2832,322,12,41
"2020-06-07","Wisconsin","WI",20835,647,2848,264,2,16
"2020-06-08","Wisconsin","WI",21038,646,2860,203,-1,12
"2020-06-09","Wisconsin","WI",21308,661,2904,270,15,44
"2020-06-10","Wisconsin","WI",21593,671,2943,285,10,39
"2020-06-11","Wisconsin","WI",21926,682,2976,333,11,33
"2020-06-12","Wisconsin","WI",22246,689,3003,320,7,27
"2020-06-13","Wisconsin","WI",22518,691,3035,272,2,32
"2020-06-14","Wisconsin","WI",22758,692,3049,240,1,14
"2020-06-15","Wisconsin","WI",22932,694,3061,174,2,12
"2020-06-16","Wisconsin","WI",23198,703,3096,266,9,35
"2020-06-17","Wisconsin","WI",23456,713,3128,258,10,32
"2020-06-18","Wisconsin","WI",23876,719,3160,420,6,32
"2020-06-19","Wisconsin","WI",24154,730,3177,278,11,17
"2020-06-20","Wisconsin","WI",24539,744,3203,385,14,26
"2020-06-21","Wisconsin","WI",24819,744,3220,280,0,17
"2020-06-22","Wisconsin","WI",25068,745,3231,249,1,11
"2020-06-23","Wisconsin","WI",25331,750,3268,263,5,37
"2020-06-24","Wisconsin","WI",25763,757,3299,432,7,31
"2020-06-25","Wisconsin","WI",26227,766,3326,464,9,27
"2020-06-26","Wisconsin","WI",26747,766,3351,520,0,25
"2020-06-27","Wisconsin","WI",27286,777,3382,539,11,31
"2020-06-28","Wisconsin","WI",27743,777,3393,457,0,11
"2020-06-29","Wisconsin","WI",28058,777,3407,315,0,14
"2020-06-30","Wisconsin","WI",28659,784,3446,601,7,39
"2020-07-01","Wisconsin","WI",29199,786,3482,540,2,36
"2020-07-02","Wisconsin","WI",29738,793,3519,539,7,37
"2020-07-03","Wisconsin","WI",30317,796,3555,579,3,36
"2020-07-04","Wisconsin","WI",31055,796,3574,738,0,19
"2020-07-05","Wisconsin","WI",31577,796,3586,522,0,12
"2020-07-06","Wisconsin","WI",32061,796,3602,484,0,16
"2020-07-07","Wisconsin","WI",32556,805,3639,495,9,37
"2020-07-08","Wisconsin","WI",33154,807,3683,598,2,44
"2020-07-09","Wisconsin","WI",33908,809,3726,754,2,43
"2020-07-10","Wisconsin","WI",34753,814,3766,845,5,40
"2020-07-11","Wisconsin","WI",35679,821,3797,926,7,31
"2020-07-12","Wisconsin","WI",36448,820,3824,769,-1,27
"2020-07-13","Wisconsin","WI",36942,820,3850,494,0,26
"2020-07-14","Wisconsin","WI",37906,826,3892,964,6,42
"2020-07-15","Wisconsin","WI",38727,827,3923,821,1,31
"2020-07-16","Wisconsin","WI",39627,831,3968,900,4,45
"2020-07-17","Wisconsin","WI",40507,833,4031,880,2,63
"2020-07-18","Wisconsin","WI",41485,843,4082,978,10,51
"2020-07-19","Wisconsin","WI",42315,844,4107,830,1,25
"2020-07-20","Wisconsin","WI",43018,846,4129,703,2,22
"2020-07-21","Wisconsin","WI",44135,859,4194,1117,13,65
"2020-07-22","Wisconsin","WI",44847,865,4225,712,6,31
"2020-07-23","Wisconsin","WI",45899,878,4273,1052,13,48
"2020-07-24","Wisconsin","WI",46917,878,4327,1018,0,54
"2020-07-25","Wisconsin","WI",47870,891,4368,953,13,41
"2020-07-26","Wisconsin","WI",48827,892,4394,957,1,26
"2020-07-27","Wisconsin","WI",49417,893,4420,590,1,26
"2020-07-28","Wisconsin","WI",50179,906,4493,762,13,73
"2020-07-29","Wisconsin","WI",51049,911,4539,870,5,46
"2020-07-30","Wisconsin","WI",52108,919,4590,1059,8,51
"2020-07-31","Wisconsin","WI",52940,934,4637,832,15,47
"2020-08-01","Wisconsin","WI",54002,947,4681,1062,13,44
"2020-08-02","Wisconsin","WI",54924,948,4717,922,1,36
"2020-08-03","Wisconsin","WI",55328,949,4732,404,1,15
"2020-08-04","Wisconsin","WI",56056,961,4783,728,12,51
"2020-08-05","Wisconsin","WI",56940,970,4826,884,9,43
"2020-08-06","Wisconsin","WI",57779,978,4881,839,8,55
"2020-08-07","Wisconsin","WI",58768,990,4930,989,12,49
"2020-08-08","Wisconsin","WI",59933,996,4980,1165,6,50
"2020-08-09","Wisconsin","WI",60554,998,5000,621,2,20
"2020-08-10","Wisconsin","WI",61061,998,5031,507,0,31
"2020-08-11","Wisconsin","WI",61785,1006,5092,724,8,61
"2020-08-12","Wisconsin","WI",62263,1011,5125,478,5,33
"2020-08-13","Wisconsin","WI",63206,1018,5170,943,7,45
"2020-08-14","Wisconsin","WI",64227,1025,5235,1021,7,65
"2020-08-15","Wisconsin","WI",65056,1038,5275,829,13,40
