"date","state","state_abbr","positive","death","hospitalized","positiveIncrease","deathIncrease","hospitalIncrease"
"2020-04-14","Minnesota","MN",1695,79,405,74,9,44
"2020-04-15","Minnesota","MN",1809,87,445,114,8,40
"2020-04-16","Minnesota","MN",1809,87,475,0,0,30
"2020-04-17","Minnesota","MN",2070,111,518,261,24,43
"2020-04-18","Minnesota","MN",2209,121,561,139,10,43
"2020-04-19","Minnesota","MN",2356,134,574,147,13,13
"2020-04-20","Minnesota","MN",2470,143,602,114,9,28
"2020-04-21","Minnesota","MN",2567,160,629,97,17,27
"2020-04-22","Minnesota","MN",2722,179,660,155,19,31
"2020-04-23","Minnesota","MN",2942,200,712,220,21,52
"2020-04-24","Minnesota","MN",3185,221,756,243,21,44
"2020-04-25","Minnesota","MN",3446,244,797,261,23,41
"2020-04-26","Minnesota","MN",3602,272,829,156,28,32
"2020-04-27","Minnesota","MN",3811,286,861,209,14,32
"2020-04-28","Minnesota","MN",4181,301,912,370,15,51
"2020-04-29","Minnesota","MN",4644,319,950,463,18,38
"2020-04-30","Minnesota","MN",5136,343,1044,492,24,94
"2020-05-01","Minnesota","MN",5730,370,1096,594,27,52
"2020-05-02","Minnesota","MN",6232,394,1159,502,24,63
"2020-05-03","Minnesota","MN",6663,418,1199,431,24,40
"2020-05-04","Minnesota","MN",7234,427,1271,571,9,72
"2020-05-05","Minnesota","MN",7851,455,1350,617,28,79
"2020-05-06","Minnesota","MN",8579,485,1405,728,30,55
"2020-05-07","Minnesota","MN",9365,508,1459,786,23,54
"2020-05-08","Minnesota","MN",10088,534,1549,723,26,90
"2020-05-09","Minnesota","MN",10790,558,1612,702,24,63
"2020-05-10","Minnesota","MN",11271,578,1657,481,20,45
"2020-05-11","Minnesota","MN",11799,591,1716,528,13,59
"2020-05-12","Minnesota","MN",12494,614,1799,695,23,83
"2020-05-13","Minnesota","MN",12917,638,1851,423,24,52
"2020-05-14","Minnesota","MN",13435,672,1915,518,34,64
"2020-05-15","Minnesota","MN",14240,692,1985,805,20,70
"2020-05-16","Minnesota","MN",14969,709,2039,729,17,54
"2020-05-17","Minnesota","MN",15668,731,2090,699,22,51
"2020-05-18","Minnesota","MN",16372,740,2128,704,9,38
"2020-05-19","Minnesota","MN",17029,757,2221,657,17,93
"2020-05-20","Minnesota","MN",17670,786,2308,641,29,87
"2020-05-21","Minnesota","MN",18200,818,2380,530,32,72
"2020-05-22","Minnesota","MN",19005,851,2432,805,33,52
"2020-05-23","Minnesota","MN",19845,861,2534,840,10,102
"2020-05-24","Minnesota","MN",20573,878,2588,728,17,54
"2020-05-25","Minnesota","MN",21315,890,2676,742,12,88
"2020-05-26","Minnesota","MN",21960,908,2709,645,18,33
"2020-05-27","Minnesota","MN",22464,942,2796,504,34,87
"2020-05-28","Minnesota","MN",22947,977,2880,483,35,84
"2020-05-29","Minnesota","MN",23531,1006,2936,584,29,56
"2020-05-30","Minnesota","MN",24190,1036,3011,659,30,75
"2020-05-31","Minnesota","MN",24850,1050,3047,660,14,36
"2020-06-01","Minnesota","MN",25208,1060,3086,358,10,39
"2020-06-02","Minnesota","MN",25508,1082,3134,300,22,48
"2020-06-03","Minnesota","MN",25870,1097,3203,362,15,69
"2020-06-04","Minnesota","MN",26273,1126,3253,403,29,50
"2020-06-05","Minnesota","MN",26980,1159,3289,707,33,36
"2020-06-06","Minnesota","MN",27501,1181,3336,521,22,47
"2020-06-07","Minnesota","MN",27886,1197,3367,385,16,31
"2020-06-08","Minnesota","MN",28224,1208,3401,338,11,34
"2020-06-09","Minnesota","MN",28523,1228,3441,299,20,40
"2020-06-10","Minnesota","MN",28869,1267,3482,346,39,41
"2020-06-11","Minnesota","MN",29316,1280,3522,447,13,40
"2020-06-12","Minnesota","MN",29795,1305,3557,479,25,35
"2020-06-13","Minnesota","MN",30172,1314,3581,377,9,24
"2020-06-14","Minnesota","MN",30471,1329,3610,299,15,29
"2020-06-15","Minnesota","MN",30693,1335,3630,222,6,20
"2020-06-16","Minnesota","MN",30882,1344,3658,189,9,28
"2020-06-17","Minnesota","MN",31296,1357,3689,414,13,31
"2020-06-18","Minnesota","MN",31675,1376,3718,379,19,29
"2020-06-19","Minnesota","MN",32031,1393,3748,356,17,30
"2020-06-20","Minnesota","MN",32467,1404,3767,436,11,19
"2020-06-21","Minnesota","MN",32920,1412,3797,453,8,30
"2020-06-22","Minnesota","MN",33227,1416,3830,307,4,33
