"date","state","state_abbr","positive","death","hospitalized","positiveIncrease","deathIncrease","hospitalIncrease"
"2020-04-14","Kansas","KS",1441,77,327,51,16,18
"2020-04-15","Kansas","KS",1504,73,342,63,-4,15
"2020-04-16","Kansas","KS",1615,80,359,111,7,17
"2020-04-17","Kansas","KS",1730,84,375,115,4,16
"2020-04-18","Kansas","KS",1821,86,383,91,2,8
"2020-04-19","Kansas","KS",1905,93,390,84,7,7
"2020-04-20","Kansas","KS",2048,102,405,143,9,15
"2020-04-21","Kansas","KS",2164,109,419,116,7,14
"2020-04-22","Kansas","KS",2331,112,432,167,3,13
"2020-04-23","Kansas","KS",2721,113,442,390,1,10
"2020-04-24","Kansas","KS",2959,118,457,238,5,15
"2020-04-25","Kansas","KS",3135,120,474,176,2,17
"2020-04-26","Kansas","KS",3277,121,485,142,1,11
"2020-04-27","Kansas","KS",3473,126,496,196,5,11
"2020-04-28","Kansas","KS",3652,127,504,179,1,8
"2020-04-29","Kansas","KS",3839,134,515,187,7,11
"2020-04-30","Kansas","KS",4413,134,523,574,0,8
"2020-05-01","Kansas","KS",4634,140,534,221,6,11
"2020-05-02","Kansas","KS",4885,142,541,251,2,7
"2020-05-03","Kansas","KS",5156,144,547,271,2,6
"2020-05-04","Kansas","KS",5383,156,553,227,12,6
"2020-05-05","Kansas","KS",5648,161,566,265,5,13
"2020-05-06","Kansas","KS",5993,164,571,345,3,5
"2020-05-07","Kansas","KS",6332,165,587,339,1,16
"2020-05-08","Kansas","KS",6667,168,608,335,3,21
"2020-05-09","Kansas","KS",6829,174,635,162,6,27
"2020-05-10","Kansas","KS",6951,174,657,122,0,22
"2020-05-11","Kansas","KS",7159,180,660,208,6,3
"2020-05-12","Kansas","KS",7240,184,660,81,4,0
"2020-05-13","Kansas","KS",7518,188,704,278,4,44
"2020-05-14","Kansas","KS",7705,189,704,187,1,0
"2020-05-15","Kansas","KS",7886,193,724,181,4,20
"2020-05-16","Kansas","KS",7939,195,724,53,2,0
"2020-05-17","Kansas","KS",7953,195,724,14,0,0
"2020-05-18","Kansas","KS",8303,198,740,350,3,16
"2020-05-19","Kansas","KS",8353,199,740,50,1,0
"2020-05-20","Kansas","KS",8507,202,760,154,3,20
"2020-05-21","Kansas","KS",8625,204,760,118,2,0
"2020-05-22","Kansas","KS",8909,205,787,284,1,27
"2020-05-23","Kansas","KS",8946,205,787,37,0,0
"2020-05-24","Kansas","KS",9004,205,787,58,0,0
"2020-05-25","Kansas","KS",9125,207,800,121,2,13
"2020-05-26","Kansas","KS",9199,210,800,74,3,0
"2020-05-27","Kansas","KS",9291,213,822,92,3,22
"2020-05-28","Kansas","KS",9371,214,822,80,1,0
"2020-05-29","Kansas","KS",9662,215,842,291,1,20
"2020-05-30","Kansas","KS",9690,215,842,28,0,0
"2020-05-31","Kansas","KS",9700,215,842,10,0,0
"2020-06-01","Kansas","KS",9920,217,842,220,2,0
"2020-06-02","Kansas","KS",9965,222,862,45,5,20
"2020-06-03","Kansas","KS",10092,226,890,127,4,28
"2020-06-04","Kansas","KS",10167,227,890,75,1,0
"2020-06-05","Kansas","KS",10306,232,917,139,5,27
"2020-06-06","Kansas","KS",10361,233,917,55,1,0
"2020-06-07","Kansas","KS",10406,233,917,45,0,0
"2020-06-08","Kansas","KS",10544,236,936,138,3,19
"2020-06-09","Kansas","KS",10609,237,936,65,1,0
"2020-06-10","Kansas","KS",10750,240,954,141,3,18
"2020-06-11","Kansas","KS",10823,243,954,73,3,0
