"date","state","state_abbr","positive","death","hospitalized","positiveIncrease","deathIncrease","hospitalIncrease"
"2020-04-14","Texas","TX",11137,372,1409,719,26,233
"2020-04-15","Texas","TX",11815,415,1538,678,43,129
"2020-04-16","Texas","TX",12476,449,1459,661,34,-79
"2020-04-17","Texas","TX",13067,488,1522,591,39,63
"2020-04-18","Texas","TX",13452,510,1321,385,22,-201
"2020-04-19","Texas","TX",13728,530,1471,276,20,150
"2020-04-20","Texas","TX",14622,550,1411,894,20,-60
"2020-04-21","Texas","TX",15320,582,1419,698,32,8
"2020-04-22","Texas","TX",16100,604,1678,780,22,259
"2020-04-23","Texas","TX",17003,651,1649,903,47,-29
"2020-04-24","Texas","TX",17766,669,1674,763,18,25
"2020-04-25","Texas","TX",18387,684,1597,621,15,-77
"2020-04-26","Texas","TX",18774,704,1542,387,20,-55
"2020-04-27","Texas","TX",20122,722,1563,1348,18,21
"2020-04-28","Texas","TX",20891,771,NA,769,49,NA
"2020-04-29","Texas","TX",22323,810,NA,1432,39,NA
"2020-04-30","Texas","TX",23439,852,NA,1116,42,NA
"2020-05-01","Texas","TX",24746,887,NA,1307,35,NA
"2020-05-02","Texas","TX",25421,952,NA,675,65,NA
"2020-05-03","Texas","TX",25800,973,NA,379,21,NA
"2020-05-04","Texas","TX",26762,998,NA,962,25,NA
"2020-05-05","Texas","TX",27647,1017,NA,885,19,NA
"2020-05-06","Texas","TX",28933,1043,NA,1286,26,NA
"2020-05-07","Texas","TX",30378,1073,NA,1445,30,NA
"2020-05-08","Texas","TX",31806,1110,NA,1428,37,NA
"2020-05-09","Texas","TX",33462,1146,NA,1656,36,NA
"2020-05-10","Texas","TX",33865,1179,NA,403,33,NA
"2020-05-11","Texas","TX",34745,1208,NA,880,29,NA
"2020-05-12","Texas","TX",36352,1241,NA,1607,33,NA
"2020-05-13","Texas","TX",37097,1263,NA,745,22,NA
"2020-05-14","Texas","TX",37781,1332,NA,684,69,NA
"2020-05-15","Texas","TX",38604,1375,NA,823,43,NA
"2020-05-16","Texas","TX",40240,1414,NA,1636,39,NA
"2020-05-17","Texas","TX",40812,1439,NA,572,25,NA
"2020-05-18","Texas","TX",42029,1451,NA,1217,12,NA
"2020-05-19","Texas","TX",43368,1485,NA,1339,34,NA
"2020-05-20","Texas","TX",44459,1527,NA,1091,42,NA
"2020-05-21","Texas","TX",45345,1549,NA,886,22,NA
"2020-05-22","Texas","TX",46266,1560,NA,921,11,NA
"2020-05-23","Texas","TX",46599,1574,NA,333,14,NA
"2020-05-24","Texas","TX",47229,1615,NA,630,41,NA
"2020-05-25","Texas","TX",47984,1626,NA,755,11,NA
"2020-05-26","Texas","TX",49129,1641,NA,1145,15,NA
"2020-05-27","Texas","TX",50011,1675,NA,882,34,NA
"2020-05-28","Texas","TX",51219,1695,NA,1208,20,NA
"2020-05-29","Texas","TX",52313,1714,NA,1094,19,NA
"2020-05-30","Texas","TX",53162,1751,NA,849,37,NA
"2020-05-31","Texas","TX",53696,1766,NA,534,15,NA
"2020-06-01","Texas","TX",54959,1778,NA,1263,12,NA
"2020-06-02","Texas","TX",56619,1810,NA,1660,32,NA
"2020-06-03","Texas","TX",57663,1838,NA,1044,28,NA
"2020-06-04","Texas","TX",65571,1875,NA,7908,37,NA
"2020-06-05","Texas","TX",68591,1900,NA,3020,25,NA
"2020-06-06","Texas","TX",69674,1927,NA,1083,27,NA
"2020-06-07","Texas","TX",70049,1937,NA,375,10,NA
"2020-06-08","Texas","TX",71452,1948,NA,1403,11,NA
"2020-06-09","Texas","TX",75371,1967,NA,3919,19,NA
"2020-06-10","Texas","TX",78479,1997,NA,3108,30,NA
"2020-06-11","Texas","TX",80122,2024,NA,1643,27,NA
"2020-06-12","Texas","TX",82692,2053,NA,2570,29,NA
"2020-06-13","Texas","TX",83941,2073,NA,1249,20,NA
"2020-06-14","Texas","TX",85202,2090,NA,1261,17,NA
"2020-06-15","Texas","TX",89330,2113,NA,4128,23,NA
"2020-06-16","Texas","TX",93423,2163,NA,4093,50,NA
"2020-06-17","Texas","TX",97403,2201,NA,3980,38,NA
"2020-06-18","Texas","TX",100313,2232,NA,2910,31,NA
"2020-06-19","Texas","TX",104267,2262,NA,3954,30,NA
"2020-06-20","Texas","TX",108111,2292,NA,3844,30,NA
"2020-06-21","Texas","TX",110699,2306,NA,2588,14,NA
"2020-06-22","Texas","TX",114384,2329,NA,3685,23,NA
"2020-06-23","Texas","TX",120648,2355,NA,6264,26,NA
"2020-06-24","Texas","TX",126506,2396,NA,5858,41,NA
"2020-06-25","Texas","TX",131033,2443,NA,4527,47,NA
"2020-06-26","Texas","TX",140066,2482,NA,9033,39,NA
"2020-06-27","Texas","TX",145195,2523,NA,5129,41,NA
"2020-06-28","Texas","TX",150390,2550,NA,5195,27,NA
"2020-06-29","Texas","TX",158765,2578,NA,8375,28,NA
"2020-06-30","Texas","TX",166153,2607,NA,7388,29,NA
"2020-07-01","Texas","TX",173204,2664,NA,7051,57,NA
"2020-07-02","Texas","TX",178758,2716,NA,5554,52,NA
"2020-07-03","Texas","TX",185502,2767,NA,6744,51,NA
"2020-07-04","Texas","TX",189588,2803,NA,4086,36,NA
