"date","state","state_abbr","positive","death","hospitalized","positiveIncrease","deathIncrease","hospitalIncrease"
"2020-04-14","Hawaii","HI",511,9,44,7,0,0
"2020-04-15","Hawaii","HI",524,9,45,13,0,1
"2020-04-16","Hawaii","HI",530,9,45,6,0,0
"2020-04-17","Hawaii","HI",541,9,45,11,0,0
"2020-04-18","Hawaii","HI",574,9,48,33,0,3
"2020-04-19","Hawaii","HI",580,10,51,6,1,3
"2020-04-20","Hawaii","HI",584,10,52,4,0,1
"2020-04-21","Hawaii","HI",586,10,55,2,0,3
"2020-04-22","Hawaii","HI",592,12,56,6,2,1
"2020-04-23","Hawaii","HI",596,12,63,4,0,7
"2020-04-24","Hawaii","HI",601,13,67,5,1,4
"2020-04-25","Hawaii","HI",605,13,67,4,0,0
"2020-04-26","Hawaii","HI",606,14,68,1,1,1
"2020-04-27","Hawaii","HI",607,16,68,1,2,0
"2020-04-28","Hawaii","HI",609,16,68,2,0,0
"2020-04-29","Hawaii","HI",613,16,69,4,0,1
"2020-04-30","Hawaii","HI",618,16,69,5,0,0
"2020-05-01","Hawaii","HI",619,16,70,1,0,1
"2020-05-02","Hawaii","HI",620,16,72,1,0,2
"2020-05-03","Hawaii","HI",620,17,72,0,1,0
"2020-05-04","Hawaii","HI",621,17,73,1,0,1
"2020-05-05","Hawaii","HI",625,17,73,4,0,0
"2020-05-06","Hawaii","HI",626,17,73,1,0,0
"2020-05-07","Hawaii","HI",629,17,74,3,0,1
"2020-05-08","Hawaii","HI",629,17,74,0,0,0
"2020-05-09","Hawaii","HI",631,17,81,2,0,7
"2020-05-10","Hawaii","HI",632,17,81,1,0,0
"2020-05-11","Hawaii","HI",634,17,81,2,0,0
"2020-05-12","Hawaii","HI",635,17,81,1,0,0
"2020-05-13","Hawaii","HI",638,17,81,3,0,0
"2020-05-14","Hawaii","HI",637,17,81,-1,0,0
"2020-05-15","Hawaii","HI",638,17,81,1,0,0
"2020-05-16","Hawaii","HI",639,17,81,1,0,0
"2020-05-17","Hawaii","HI",640,17,82,1,0,1
"2020-05-18","Hawaii","HI",640,17,82,0,0,0
"2020-05-19","Hawaii","HI",641,17,82,1,0,0
"2020-05-20","Hawaii","HI",643,17,82,2,0,0
"2020-05-21","Hawaii","HI",647,17,82,4,0,0
"2020-05-22","Hawaii","HI",642,17,83,-5,0,1
"2020-05-23","Hawaii","HI",643,17,84,1,0,1
"2020-05-24","Hawaii","HI",643,17,84,0,0,0
"2020-05-25","Hawaii","HI",643,17,84,0,0,0
"2020-05-26","Hawaii","HI",643,17,84,0,0,0
"2020-05-27","Hawaii","HI",644,17,83,1,0,-1
"2020-05-28","Hawaii","HI",647,17,83,3,0,0
"2020-05-29","Hawaii","HI",649,17,83,2,0,0
"2020-05-30","Hawaii","HI",651,17,83,2,0,0
"2020-05-31","Hawaii","HI",652,17,83,1,0,0
"2020-06-01","Hawaii","HI",652,17,83,0,0,0
"2020-06-02","Hawaii","HI",653,17,83,1,0,0
"2020-06-03","Hawaii","HI",653,17,83,0,0,0
"2020-06-04","Hawaii","HI",655,17,83,2,0,0
"2020-06-05","Hawaii","HI",664,17,83,9,0,0
"2020-06-06","Hawaii","HI",673,17,83,9,0,0
"2020-06-07","Hawaii","HI",675,17,83,2,0,0
"2020-06-08","Hawaii","HI",676,17,84,1,0,1
"2020-06-09","Hawaii","HI",682,17,84,6,0,0
"2020-06-10","Hawaii","HI",685,17,84,3,0,0
"2020-06-11","Hawaii","HI",692,17,85,7,0,1
"2020-06-12","Hawaii","HI",706,17,86,14,0,1
"2020-06-13","Hawaii","HI",723,17,87,17,0,1
"2020-06-14","Hawaii","HI",728,17,89,5,0,2
"2020-06-15","Hawaii","HI",736,17,91,8,0,2
"2020-06-16","Hawaii","HI",736,17,91,0,0,0
"2020-06-17","Hawaii","HI",744,17,92,8,0,1
"2020-06-18","Hawaii","HI",762,17,95,18,0,3
"2020-06-19","Hawaii","HI",789,17,95,27,0,0
"2020-06-20","Hawaii","HI",789,17,96,0,0,1
"2020-06-21","Hawaii","HI",814,17,96,25,0,0
"2020-06-22","Hawaii","HI",816,17,97,2,0,1
"2020-06-23","Hawaii","HI",819,17,99,3,0,2
"2020-06-24","Hawaii","HI",835,17,104,16,0,5
"2020-06-25","Hawaii","HI",851,17,105,16,0,1
"2020-06-26","Hawaii","HI",866,17,109,15,0,4
"2020-06-27","Hawaii","HI",872,18,109,6,1,0
"2020-06-28","Hawaii","HI",899,18,110,27,0,1
"2020-06-29","Hawaii","HI",900,18,111,1,0,1
"2020-06-30","Hawaii","HI",917,18,111,17,0,0
"2020-07-01","Hawaii","HI",926,18,113,9,0,2
"2020-07-02","Hawaii","HI",946,18,116,20,0,3
"2020-07-03","Hawaii","HI",975,19,116,29,1,0
"2020-07-04","Hawaii","HI",999,19,118,24,0,2
"2020-07-05","Hawaii","HI",1023,19,118,24,0,0
"2020-07-06","Hawaii","HI",1030,19,118,7,0,0
