"date","state","state_abbr","positive","death","hospitalized","positiveIncrease","deathIncrease","hospitalIncrease"
"2020-04-14","New Jersey","NJ",68824,2805,8185,4240,362,404
"2020-04-15","New Jersey","NJ",71030,3156,8270,2206,351,85
"2020-04-16","New Jersey","NJ",75317,3518,8224,4287,362,-46
"2020-04-17","New Jersey","NJ",78467,3840,8011,3150,322,-213
"2020-04-18","New Jersey","NJ",81420,4070,7718,2953,230,-293
"2020-04-19","New Jersey","NJ",85301,4362,7494,3881,292,-224
"2020-04-20","New Jersey","NJ",88722,4496,6986,3421,134,-508
"2020-04-21","New Jersey","NJ",92387,4753,7594,3665,257,608
"2020-04-22","New Jersey","NJ",95914,5150,7210,3527,397,-384
"2020-04-23","New Jersey","NJ",100025,5426,7240,4111,276,30
"2020-04-24","New Jersey","NJ",102196,5683,6847,2171,257,-393
"2020-04-25","New Jersey","NJ",105498,5914,6722,3302,231,-125
"2020-04-26","New Jersey","NJ",109038,5938,6573,3540,24,-149
"2020-04-27","New Jersey","NJ",111188,6044,6407,2150,106,-166
"2020-04-28","New Jersey","NJ",113856,6442,NA,2668,398,NA
"2020-04-29","New Jersey","NJ",116365,6771,NA,2509,329,NA
"2020-04-30","New Jersey","NJ",118652,7228,NA,2287,457,NA
"2020-05-01","New Jersey","NJ",121203,7538,NA,2551,310,NA
"2020-05-02","New Jersey","NJ",123735,7742,NA,2532,204,NA
"2020-05-03","New Jersey","NJ",126763,7871,NA,3028,129,NA
"2020-05-04","New Jersey","NJ",128296,7910,NA,1533,39,NA
"2020-05-05","New Jersey","NJ",130628,8244,NA,2332,334,NA
"2020-05-06","New Jersey","NJ",131928,8549,NA,1300,305,NA
"2020-05-07","New Jersey","NJ",134037,8807,NA,2109,258,NA
"2020-05-08","New Jersey","NJ",135899,8960,NA,1862,153,NA
"2020-05-09","New Jersey","NJ",137464,9116,NA,1565,156,NA
"2020-05-10","New Jersey","NJ",138823,9256,NA,1359,140,NA
"2020-05-11","New Jersey","NJ",140289,9340,NA,1466,84,NA
"2020-05-12","New Jersey","NJ",141016,9531,NA,727,191,NA
"2020-05-13","New Jersey","NJ",141673,9714,NA,657,183,NA
"2020-05-14","New Jersey","NJ",142834,9946,NA,1161,232,NA
"2020-05-15","New Jersey","NJ",144124,10148,NA,1290,202,NA
"2020-05-16","New Jersey","NJ",145233,10261,NA,1109,113,NA
"2020-05-17","New Jersey","NJ",146653,10363,NA,1420,102,NA
"2020-05-18","New Jersey","NJ",148401,10439,NA,1748,76,NA
"2020-05-19","New Jersey","NJ",149533,10587,NA,1132,148,NA
"2020-05-20","New Jersey","NJ",150976,10749,NA,1443,162,NA
"2020-05-21","New Jersey","NJ",151802,10846,NA,826,97,NA
"2020-05-22","New Jersey","NJ",152818,10985,NA,1016,139,NA
"2020-05-23","New Jersey","NJ",153383,11082,NA,565,97,NA
"2020-05-24","New Jersey","NJ",154402,11138,NA,1019,56,NA
"2020-05-25","New Jersey","NJ",155343,11147,NA,941,9,NA
"2020-05-26","New Jersey","NJ",156030,11194,16373,687,47,NA
"2020-05-27","New Jersey","NJ",156909,11339,16597,879,145,224
"2020-05-28","New Jersey","NJ",157485,11409,16778,576,70,181
"2020-05-29","New Jersey","NJ",159152,11531,16960,1667,122,182
"2020-05-30","New Jersey","NJ",159922,11634,17121,770,103,161
"2020-05-31","New Jersey","NJ",160760,11698,17197,838,64,76
"2020-06-01","New Jersey","NJ",161246,11723,17222,486,25,25
"2020-06-02","New Jersey","NJ",161904,11771,17390,658,48,168
"2020-06-03","New Jersey","NJ",162445,11880,17390,541,109,0
"2020-06-04","New Jersey","NJ",162923,11970,17604,478,90,214
"2020-06-05","New Jersey","NJ",163748,12049,17880,825,79,276
"2020-06-06","New Jersey","NJ",164314,12106,18023,566,57,143
"2020-06-07","New Jersey","NJ",164593,12176,18050,279,70,27
"2020-06-08","New Jersey","NJ",164941,12214,18050,348,38,0
"2020-06-09","New Jersey","NJ",165257,12303,18069,316,89,19
"2020-06-10","New Jersey","NJ",165823,12377,18223,566,74,154
"2020-06-11","New Jersey","NJ",166318,12443,18492,495,66,269
"2020-06-12","New Jersey","NJ",166685,12489,18607,367,46,115
"2020-06-13","New Jersey","NJ",167141,12621,18707,456,132,100
"2020-06-14","New Jersey","NJ",167425,12659,18737,284,38,30
"2020-06-15","New Jersey","NJ",167669,12708,18755,244,49,18
"2020-06-16","New Jersey","NJ",168022,12792,18879,353,84,124
"2020-06-17","New Jersey","NJ",168323,12835,19010,301,43,131
"2020-06-18","New Jersey","NJ",168748,12869,19010,425,34,0
"2020-06-19","New Jersey","NJ",169167,12902,19267,419,33,257
"2020-06-20","New Jersey","NJ",169522,12924,19267,355,22,0
"2020-06-21","New Jersey","NJ",169843,12939,19267,321,15,0
"2020-06-22","New Jersey","NJ",170148,12974,19401,305,35,134
"2020-06-23","New Jersey","NJ",170506,13025,19512,358,51,111
"2020-06-24","New Jersey","NJ",170683,13076,19598,177,51,86
"2020-06-25","New Jersey","NJ",171018,14872,19668,335,1796,70
"2020-06-26","New Jersey","NJ",171430,14914,19752,412,42,84
"2020-06-27","New Jersey","NJ",171741,14948,19823,311,34,71
"2020-06-28","New Jersey","NJ",172066,14975,19841,325,27,18
"2020-06-29","New Jersey","NJ",172199,14992,19847,133,17,6
"2020-06-30","New Jersey","NJ",172633,15035,19847,434,43,0
