"date","state","state_abbr","positive","death","hospitalized","positiveIncrease","deathIncrease","hospitalIncrease"
"2020-04-14","Arkansas","AR",1498,32,130,88,3,0
"2020-04-15","Arkansas","AR",1569,33,130,71,1,0
"2020-04-16","Arkansas","AR",1620,37,85,51,4,-45
"2020-04-17","Arkansas","AR",1695,37,83,75,0,-2
"2020-04-18","Arkansas","AR",1744,38,291,49,1,208
"2020-04-19","Arkansas","AR",1781,39,291,37,1,0
"2020-04-20","Arkansas","AR",1973,41,291,192,2,0
"2020-04-21","Arkansas","AR",1990,42,291,17,1,0
"2020-04-22","Arkansas","AR",2276,42,291,286,0,0
"2020-04-23","Arkansas","AR",2599,45,291,323,3,0
"2020-04-24","Arkansas","AR",2810,47,291,211,2,0
"2020-04-25","Arkansas","AR",2911,48,291,101,1,0
"2020-04-26","Arkansas","AR",3001,51,291,90,3,0
"2020-04-27","Arkansas","AR",3069,51,109,68,0,-182
"2020-04-28","Arkansas","AR",3127,57,NA,58,6,NA
"2020-04-29","Arkansas","AR",3193,57,389,66,0,NA
"2020-04-30","Arkansas","AR",3281,61,402,88,4,13
"2020-05-01","Arkansas","AR",3337,64,414,56,3,12
"2020-05-02","Arkansas","AR",3372,72,414,35,8,0
"2020-05-03","Arkansas","AR",3437,76,427,65,4,13
"2020-05-04","Arkansas","AR",3491,80,438,54,4,11
"2020-05-05","Arkansas","AR",3525,83,453,34,3,15
"2020-05-06","Arkansas","AR",3611,87,453,86,4,0
"2020-05-07","Arkansas","AR",3703,87,462,92,0,9
"2020-05-08","Arkansas","AR",3747,88,466,44,1,4
"2020-05-09","Arkansas","AR",3747,88,471,0,0,5
"2020-05-10","Arkansas","AR",4012,91,471,265,3,0
"2020-05-11","Arkansas","AR",4043,94,480,31,3,9
"2020-05-12","Arkansas","AR",4164,95,485,121,1,5
"2020-05-13","Arkansas","AR",4236,97,497,72,2,12
"2020-05-14","Arkansas","AR",4366,98,509,130,1,12
"2020-05-15","Arkansas","AR",4463,98,520,97,0,11
"2020-05-16","Arkansas","AR",4578,98,520,115,0,0
"2020-05-17","Arkansas","AR",4759,98,520,181,0,0
"2020-05-18","Arkansas","AR",4813,100,530,54,2,10
"2020-05-19","Arkansas","AR",4923,102,535,110,2,5
"2020-05-20","Arkansas","AR",5003,107,535,80,5,0
"2020-05-21","Arkansas","AR",5458,110,535,455,3,0
"2020-05-22","Arkansas","AR",5612,113,584,154,3,49
"2020-05-23","Arkansas","AR",5775,115,590,163,2,6
"2020-05-24","Arkansas","AR",5922,116,598,147,1,8
"2020-05-25","Arkansas","AR",6029,117,605,107,1,7
"2020-05-26","Arkansas","AR",6180,119,617,151,2,12
"2020-05-27","Arkansas","AR",6277,120,627,97,1,10
"2020-05-28","Arkansas","AR",6538,125,640,261,5,13
"2020-05-29","Arkansas","AR",6777,132,667,239,7,27
"2020-05-30","Arkansas","AR",7013,133,702,236,1,35
"2020-05-31","Arkansas","AR",7253,133,711,240,0,9
"2020-06-01","Arkansas","AR",7443,133,711,190,0,0
"2020-06-02","Arkansas","AR",7818,136,718,375,3,7
"2020-06-03","Arkansas","AR",8067,142,731,249,6,13
"2020-06-04","Arkansas","AR",8425,151,757,358,9,26
"2020-06-05","Arkansas","AR",8651,152,792,226,1,35
"2020-06-06","Arkansas","AR",9101,154,838,450,2,46
"2020-06-07","Arkansas","AR",9426,154,844,325,0,6
"2020-06-08","Arkansas","AR",9740,155,844,314,1,0
"2020-06-09","Arkansas","AR",10080,161,865,340,6,21
"2020-06-10","Arkansas","AR",10368,165,901,288,4,36
"2020-06-11","Arkansas","AR",10816,171,925,448,6,24
"2020-06-12","Arkansas","AR",11547,176,961,731,5,36
"2020-06-13","Arkansas","AR",12095,177,979,548,1,18
"2020-06-14","Arkansas","AR",12501,179,998,406,2,19
"2020-06-15","Arkansas","AR",12917,182,1003,416,3,5
"2020-06-16","Arkansas","AR",13191,188,1026,274,6,23
"2020-06-17","Arkansas","AR",13606,197,1052,415,9,26
"2020-06-18","Arkansas","AR",13928,208,1074,322,11,22
"2020-06-19","Arkansas","AR",14631,214,1100,703,6,26
"2020-06-20","Arkansas","AR",15142,224,1100,511,10,0
"2020-06-21","Arkansas","AR",15561,225,1152,419,1,52
"2020-06-22","Arkansas","AR",16083,227,1164,522,2,12
"2020-06-23","Arkansas","AR",16678,237,1188,595,10,24
"2020-06-24","Arkansas","AR",17375,240,1214,697,3,26
"2020-06-25","Arkansas","AR",18062,240,1245,687,0,31
"2020-06-26","Arkansas","AR",18740,249,1300,678,9,55
"2020-06-27","Arkansas","AR",19310,259,1337,570,10,37
"2020-06-28","Arkansas","AR",19818,264,1373,508,5,36
"2020-06-29","Arkansas","AR",20257,265,1380,439,1,7
"2020-06-30","Arkansas","AR",20777,270,1413,520,5,33
"2020-07-01","Arkansas","AR",21197,277,1448,420,7,35
"2020-07-02","Arkansas","AR",22075,279,1477,878,2,29
"2020-07-03","Arkansas","AR",22622,281,1517,547,2,40
"2020-07-04","Arkansas","AR",23209,286,1536,587,5,19
"2020-07-05","Arkansas","AR",23814,287,1536,605,1,0
"2020-07-06","Arkansas","AR",24253,292,1575,439,5,39
