"date","state","state_abbr","positive","death","hospitalized","positiveIncrease","deathIncrease","hospitalIncrease"
"2020-04-14","Kentucky","KY",2048,106,673,30,-7,6
"2020-04-15","Kentucky","KY",2210,115,687,162,9,14
"2020-04-16","Kentucky","KY",2435,129,807,225,14,120
"2020-04-17","Kentucky","KY",2522,137,971,87,8,164
"2020-04-18","Kentucky","KY",2707,144,1008,185,7,37
"2020-04-19","Kentucky","KY",2960,146,1059,253,2,51
"2020-04-20","Kentucky","KY",3050,154,1059,90,8,0
"2020-04-21","Kentucky","KY",3204,171,1059,154,17,0
"2020-04-22","Kentucky","KY",3378,185,1076,174,14,17
"2020-04-23","Kentucky","KY",3479,191,1105,101,6,29
"2020-04-24","Kentucky","KY",3779,200,1143,300,9,38
"2020-04-25","Kentucky","KY",3915,205,1143,136,5,0
"2020-04-26","Kentucky","KY",4085,208,1266,170,3,123
"2020-04-27","Kentucky","KY",4156,213,1274,71,5,8
"2020-04-28","Kentucky","KY",4375,225,1281,219,12,7
"2020-04-29","Kentucky","KY",4537,234,1331,162,9,50
"2020-04-30","Kentucky","KY",4708,240,1359,171,6,28
"2020-05-01","Kentucky","KY",4882,246,1375,174,6,16
"2020-05-02","Kentucky","KY",4879,248,1411,-3,2,36
"2020-05-03","Kentucky","KY",5130,253,1411,251,5,0
"2020-05-04","Kentucky","KY",5245,261,1519,115,8,108
"2020-05-05","Kentucky","KY",5822,275,1529,577,14,10
"2020-05-06","Kentucky","KY",5934,283,1603,112,8,74
"2020-05-07","Kentucky","KY",6129,294,1616,195,11,13
"2020-05-08","Kentucky","KY",6288,298,1684,159,4,68
"2020-05-09","Kentucky","KY",6440,304,1696,152,6,12
"2020-05-10","Kentucky","KY",6440,304,1757,0,0,61
"2020-05-11","Kentucky","KY",6677,311,1757,237,7,0
"2020-05-12","Kentucky","KY",6853,321,1767,176,10,10
"2020-05-13","Kentucky","KY",6853,321,1825,0,0,58
"2020-05-14","Kentucky","KY",7225,328,1835,372,7,10
"2020-05-15","Kentucky","KY",7444,332,1887,219,4,52
"2020-05-16","Kentucky","KY",7688,334,1896,244,2,9
"2020-05-17","Kentucky","KY",7688,334,1896,0,0,0
"2020-05-18","Kentucky","KY",7935,346,1896,247,12,0
"2020-05-19","Kentucky","KY",8069,366,1980,134,20,84
"2020-05-20","Kentucky","KY",8167,376,2010,98,10,30
"2020-05-21","Kentucky","KY",8286,386,2016,119,10,6
"2020-05-22","Kentucky","KY",8426,391,2041,140,5,25
"2020-05-23","Kentucky","KY",8571,391,2076,145,0,35
"2020-05-24","Kentucky","KY",8571,391,2131,0,0,55
"2020-05-25","Kentucky","KY",8571,391,2131,0,0,0
"2020-05-26","Kentucky","KY",8951,394,2131,380,3,0
"2020-05-27","Kentucky","KY",9077,400,2136,126,6,5
"2020-05-28","Kentucky","KY",9185,409,2142,108,9,6
"2020-05-29","Kentucky","KY",9464,418,2180,279,9,38
"2020-05-30","Kentucky","KY",9704,431,2266,240,13,86
"2020-05-31","Kentucky","KY",9704,431,2272,0,0,6
"2020-06-01","Kentucky","KY",10046,439,2274,342,8,2
"2020-06-02","Kentucky","KY",10185,442,2307,139,3,33
"2020-06-03","Kentucky","KY",10410,450,2317,225,8,10
"2020-06-04","Kentucky","KY",10705,458,2332,295,8,15
"2020-06-05","Kentucky","KY",10977,466,2345,272,8,13
"2020-06-06","Kentucky","KY",11287,470,2361,310,4,16
"2020-06-07","Kentucky","KY",11287,470,2361,0,0,0
"2020-06-08","Kentucky","KY",11476,472,2368,189,2,7
"2020-06-09","Kentucky","KY",11707,477,2386,231,5,18
"2020-06-10","Kentucky","KY",11883,484,2396,176,7,10
"2020-06-11","Kentucky","KY",11945,493,2406,62,9,10
"2020-06-12","Kentucky","KY",12166,497,2406,221,4,0
"2020-06-13","Kentucky","KY",12445,499,2433,279,2,27
"2020-06-14","Kentucky","KY",12445,499,2433,0,0,0
"2020-06-15","Kentucky","KY",12647,505,2433,202,6,0
"2020-06-16","Kentucky","KY",12647,505,2436,0,0,3
"2020-06-17","Kentucky","KY",12995,518,2455,348,13,19
"2020-06-18","Kentucky","KY",13197,520,2482,202,2,27
"2020-06-19","Kentucky","KY",13454,522,2494,257,2,12
"2020-06-20","Kentucky","KY",13630,524,2522,176,2,28
"2020-06-21","Kentucky","KY",13750,526,2522,120,2,0
"2020-06-22","Kentucky","KY",13839,526,2532,89,0,10
"2020-06-23","Kentucky","KY",14141,537,2556,302,11,24
"2020-06-24","Kentucky","KY",14363,538,2574,222,1,18
"2020-06-25","Kentucky","KY",14617,546,2584,254,8,10
"2020-06-26","Kentucky","KY",14859,553,2589,242,7,5
"2020-06-27","Kentucky","KY",15167,554,2589,308,1,0
"2020-06-28","Kentucky","KY",15232,558,2590,65,4,1
"2020-06-29","Kentucky","KY",15347,560,2602,115,2,12
"2020-06-30","Kentucky","KY",15624,565,2621,277,5,19
"2020-07-01","Kentucky","KY",15842,572,2635,218,7,14
"2020-07-02","Kentucky","KY",16079,581,2662,237,9,27
"2020-07-03","Kentucky","KY",16376,585,2685,297,4,23
"2020-07-04","Kentucky","KY",16376,585,2685,0,0,0
"2020-07-05","Kentucky","KY",16376,585,2685,0,0,0
"2020-07-06","Kentucky","KY",17152,593,2699,776,8,14
"2020-07-07","Kentucky","KY",17519,602,2708,367,9,9
"2020-07-08","Kentucky","KY",17919,608,2737,400,6,29
"2020-07-09","Kentucky","KY",18245,612,2747,326,4,10
"2020-07-10","Kentucky","KY",18672,620,2763,427,8,16
"2020-07-11","Kentucky","KY",19121,622,2779,449,2,16
"2020-07-12","Kentucky","KY",19389,625,2779,268,3,0
"2020-07-13","Kentucky","KY",19653,629,2791,264,4,12
"2020-07-14","Kentucky","KY",20223,635,2802,570,6,11
"2020-07-15","Kentucky","KY",20677,645,2823,454,10,21
"2020-07-16","Kentucky","KY",21083,650,2842,406,5,19
"2020-07-17","Kentucky","KY",21605,658,2864,522,8,22
"2020-07-18","Kentucky","KY",22184,667,2875,579,9,11
"2020-07-19","Kentucky","KY",23161,670,2875,977,3,0
"2020-07-20","Kentucky","KY",23414,671,2882,253,1,7
"2020-07-21","Kentucky","KY",24060,674,2900,646,3,18
"2020-07-22","Kentucky","KY",24540,677,2914,480,3,14
"2020-07-23","Kentucky","KY",25147,684,2921,607,7,7
"2020-07-24","Kentucky","KY",25932,691,3248,785,7,327
"2020-07-25","Kentucky","KY",26764,696,3266,832,5,18
"2020-07-26","Kentucky","KY",27082,700,3266,318,4,0
"2020-07-27","Kentucky","KY",27586,709,3276,504,9,10
"2020-07-28","Kentucky","KY",28111,719,3279,525,10,3
"2020-07-29","Kentucky","KY",28727,724,3281,616,5,2
"2020-07-30","Kentucky","KY",29386,731,3304,659,7,23
"2020-07-31","Kentucky","KY",30151,735,3314,765,4,10
"2020-08-01","Kentucky","KY",30723,740,3782,572,5,468
"2020-08-02","Kentucky","KY",31185,742,3782,462,2,0
"2020-08-03","Kentucky","KY",31508,744,3815,323,2,33
"2020-08-04","Kentucky","KY",32197,751,3851,689,7,36
"2020-08-05","Kentucky","KY",32741,752,3903,544,1,52
"2020-08-06","Kentucky","KY",33254,760,3924,513,8,21
"2020-08-07","Kentucky","KY",33796,764,3975,542,4,51
"2020-08-08","Kentucky","KY",34578,772,4002,782,8,27
"2020-08-09","Kentucky","KY",34982,773,4002,404,1,0
"2020-08-10","Kentucky","KY",35254,775,4024,272,2,22
"2020-08-11","Kentucky","KY",35793,783,4063,539,8,39
"2020-08-12","Kentucky","KY",36945,790,4091,1152,7,28
"2020-08-13","Kentucky","KY",37686,796,4116,741,6,25
"2020-08-14","Kentucky","KY",38298,804,4158,612,8,42
"2020-08-15","Kentucky","KY",38930,810,4193,632,6,35
"2020-08-16","Kentucky","KY",38930,810,4193,0,0,0
"2020-08-17","Kentucky","KY",39691,818,4215,761,8,22
"2020-08-18","Kentucky","KY",40299,830,4252,608,12,37
"2020-08-19","Kentucky","KY",40926,842,4301,627,12,49
"2020-08-20","Kentucky","KY",41626,856,4349,700,14,48
"2020-08-21","Kentucky","KY",42265,864,4362,639,8,13
