"date","state","state_abbr","positive","death","hospitalized","positiveIncrease","deathIncrease","hospitalIncrease"
"2020-04-14","Rhode Island","RI",3251,108,331,586,8,0
"2020-04-15","Rhode Island","RI",3251,125,331,0,17,0
"2020-04-16","Rhode Island","RI",3529,139,331,278,14,0
"2020-04-17","Rhode Island","RI",4177,160,331,648,21,0
"2020-04-18","Rhode Island","RI",4491,175,331,314,15,0
"2020-04-19","Rhode Island","RI",4706,186,331,215,11,0
"2020-04-20","Rhode Island","RI",5090,196,331,384,10,0
"2020-04-21","Rhode Island","RI",5500,214,576,410,18,245
"2020-04-22","Rhode Island","RI",5841,232,576,341,18,0
"2020-04-23","Rhode Island","RI",6256,247,576,415,15,0
"2020-04-24","Rhode Island","RI",6699,262,576,443,15,0
"2020-04-25","Rhode Island","RI",7129,276,576,430,14,0
"2020-04-26","Rhode Island","RI",7439,290,691,310,14,115
"2020-04-27","Rhode Island","RI",7708,300,718,269,10,27
"2020-04-28","Rhode Island","RI",7927,322,732,219,22,14
"2020-04-29","Rhode Island","RI",8247,340,750,320,18,18
"2020-04-30","Rhode Island","RI",8621,364,896,374,24,146
"2020-05-01","Rhode Island","RI",8962,378,937,341,14,41
"2020-05-02","Rhode Island","RI",9289,402,977,327,24,40
"2020-05-03","Rhode Island","RI",9477,423,1013,188,21,36
"2020-05-04","Rhode Island","RI",9652,441,1061,175,18,48
"2020-05-05","Rhode Island","RI",9933,457,1092,281,16,31
"2020-05-06","Rhode Island","RI",10205,478,1123,272,21,31
"2020-05-07","Rhode Island","RI",10530,499,1153,325,21,30
"2020-05-08","Rhode Island","RI",10779,521,1187,249,22,34
"2020-05-09","Rhode Island","RI",10989,536,1218,210,15,31
"2020-05-10","Rhode Island","RI",11274,550,1251,285,14,33
"2020-05-11","Rhode Island","RI",11450,565,1280,176,15,29
"2020-05-12","Rhode Island","RI",11614,587,1307,164,22,27
"2020-05-13","Rhode Island","RI",11835,600,1328,221,13,21
"2020-05-14","Rhode Island","RI",12016,615,1351,181,15,23
"2020-05-15","Rhode Island","RI",12219,629,1372,203,14,21
"2020-05-16","Rhode Island","RI",12434,644,1403,215,15,31
"2020-05-17","Rhode Island","RI",12674,654,1418,240,10,15
"2020-05-18","Rhode Island","RI",12795,672,1438,121,18,20
"2020-05-19","Rhode Island","RI",12951,683,1464,156,11,26
"2020-05-20","Rhode Island","RI",13356,705,1486,405,22,22
"2020-05-21","Rhode Island","RI",13571,725,1506,215,20,20
"2020-05-22","Rhode Island","RI",13736,736,1537,165,11,31
"2020-05-23","Rhode Island","RI",13952,749,1557,216,13,20
"2020-05-24","Rhode Island","RI",14065,757,1580,113,8,23
"2020-05-25","Rhode Island","RI",14065,767,1580,0,10,0
"2020-05-26","Rhode Island","RI",14210,782,1613,145,15,33
"2020-05-27","Rhode Island","RI",14353,792,1624,143,10,11
"2020-05-28","Rhode Island","RI",14494,800,1639,141,8,15
"2020-05-29","Rhode Island","RI",14635,812,1660,141,12,21
"2020-05-30","Rhode Island","RI",14819,824,1682,184,12,22
"2020-05-31","Rhode Island","RI",14928,827,1701,109,3,19
"2020-06-01","Rhode Island","RI",14991,832,1724,63,5,23
"2020-06-02","Rhode Island","RI",15112,842,1743,121,10,19
"2020-06-03","Rhode Island","RI",15219,853,1753,107,11,10
"2020-06-04","Rhode Island","RI",15325,865,1765,106,12,12
"2020-06-05","Rhode Island","RI",15441,876,1775,116,11,10
"2020-06-06","Rhode Island","RI",15441,882,1775,0,6,0
